Maison,Coeur,Disponibilité,Famille Olfactive,Fond,Prix,Reference,Saison,Taille,Tête
Roja,Lavande,Jovoy,Chypré,Cuir,465,Isola blu,,50,Bergamotte
Roja,Caramel,Jovoy,"Ambré, Fruité",Oud,390,Aoud Extraordinaire,,50,Mangue
Stephane Humbert,,Printemps,,,215,Crying of evil,,50,
Stephane Humbert,,Printemps,,,215,Pink Boa,,50,
Superz,,Odorare,,,110,Coco loco,,50,
Superz,,Odorare,,,110,Tenerife,,50,
Superz,,Odorare,,,110,Secret desire iris,,50,
Tiziana Terenzi,Muguet,Jovoy,"Chypré, Fruité",Santal,220,Kirké,"Eté, Printemps",100,Fruit de la passion
Tiziana Terenzi,Rose,Jovoy,Floral,Ambre,300,Andromeda,,100,Bergamotte
Tiziana Terenzi,Acajou,Jovoy,"Boisé, Floral, Musqué",Vétiver,575,Telea,,100,Poire
Tiziana Terenzi,Jasmin,Jovoy,"Floral, Fruité",Caramel,575,Orza,,100,Fruits Rouges
Tiziana Terenzi,Noix de coco,Jovoy,Boisé,Musc,475,Tabit,,100,Bergamotte
Tiziana Terenzi,Jasmin,Jovoy,Hespéridé,Musc,430,Gumin,,100,Bergamotte
Tom Ford,,Galerie Lafayette,"Floral, Oriental",,165,Soleil Blanc,Eté,30,"Ambre, Noix de coco, Tubéreuse"
Une nuit nomade,Datte,Jovoy,"Gourmand, Oriental",Amande,160,Jardin de misfah,,100,Cardamome
Une nuit nomade,Fleurs Blanches,Jovoy,"Aldéhydé, Floral",Musc,160,Sun Bleached,,100,Bergamotte
Van cleef & arpels,,"Galerie Lafayette, Samaritaine",,,200,Santal Blanc,,75,
Vilhelm,,Nose,,,175,Poets of berlin,,50,
Vilhelm,,Nose,,,175,Room service,,50,
Vilhelm,,Nose,,,175,Faces of francis,,50,
Welton London,Cuir,Jovoy,"Cuiré, Oriental",Cashmeran,260,Narcotic Elixir,,100,Davana
Welton London,Encens,Jovoy,"Boisé, Cuiré",Cashmeran,210,Bois de babylone,,50,Feuille de violette
Welton London,Rose,Jovoy,Floral,Tonka,210,Baicha,,50,Bergamotte
Xerjoff,Cèdre,"Galerie Lafayette, Jovoy, Samaritaine","Boisé, Oriental",Oud,325,Alexandria II,,50,Lavande
Xerjoff,Rose,"Galerie Lafayette, Jovoy, Samaritaine","Chypré, Floral",Ambre,165,Damarose,,50,Fruits Rouges
Xerjoff,Fruits exotiques,"Galerie Lafayette, Jovoy, Samaritaine","Fruité, Oriental",Musc,165,Erba Pura,"Eté, Printemps",50,Orange
Xerjoff,Jasmin,"Galerie Lafayette, Jovoy, Samaritaine","Aromatique, Epicé",Tabac,245,Naxos,"Automne, Hiver",100,Citron
Xerjoff,Patchouli,Jovoy,Boisé,Santal,235,White On White,,50,Figue
YSL,,"Printemps, Samaritaine","Ambré, Chypré",,160,Tuxedo,"Automne, Hiver",35,"Ambre gris, Patchouli, Poivre noir"
YSL,,"Printemps, Samaritaine",,,290,6 place St Suplice,,125,
BDK,Lait,"Galerie Lafayette, Jovoy, Printemps, Samaritaine","Ambré, Fruité",Oud,280,Rouge smoking Extrait,,50,Cerise
BDK,Rose,"Galerie Lafayette, Jovoy, Printemps, Samaritaine","Floral, Fruité",Musc,140,Bouquet de Hongrie,Toutes,50,Poire
Goldfield an Banks,Jasmin,"Jovoy, Printemps","Fruité, Gourmand",Vanille,167,Ingenious Ginger,,100,Pêche
Matière Première,Encens,"Printemps, Samaritaine","Epicé, Oriental",Labdanum,165,Encens suave,,50,Café
